# Z-profile-Region_1-Statistic_Mean-Coordinate_Current aless17_dirtycube_spw1719_natweight_nopbcorr.fits
# xLabel: [LSRK] Radio velocity (km/s)
# yLabel: Value (Jy/beam)
# ellipse[[504.717469pix, 511.447861pix], [8.536111pix, 14.486992pix], 349.477082deg]	
# ellipse(wcs:ICRS)[[3:32:07.3584045020, -27:51:20.8107345190], [0.9389722591", 1.5935690803"], 349.477082deg]	
# x	y	fittingModel	fittingResidual
664.2788227207792	9.9732289238e-6	3.864670e-16	9.973229e-6
612.6864702225012	3.6904717622e-5	1.718687e-14	3.690472e-5
561.0941177242231	1.4540560699e-5	5.789933e-13	1.454056e-5
509.50176522587844	1.8096284895e-5	1.477552e-11	1.809627e-5
457.90941272763365	3.9397095978e-5	2.856306e-10	3.939681e-5
406.3170602293556	9.4495737347e-5	4.182723e-9	9.449155e-5
354.7247077310442	7.1345414349e-5	4.639872e-8	7.129902e-5
303.1323552327662	3.0283211702e-5	3.898931e-7	2.989332e-5
251.54000273448813	6.8264233174e-5	2.481861e-6	6.578237e-5
199.94765023617674	5.9483556407e-5	1.196746e-5	4.751609e-5
148.3552977378987	-6.5231155912e-7	4.371386e-5	-4.436617e-5
96.7629452396206	7.3587447491e-5	1.209564e-4	-4.736892e-5
45.17059274137583	2.5515970881e-4	2.535309e-4	1.628811e-6
-6.421759756935527	4.4145986878e-4	4.025553e-4	3.890454e-5
-58.014112255213604	4.9727414608e-4	4.841866e-4	1.308752e-5
-109.60646475349168	4.0676823708e-4	4.411564e-4	-3.438812e-5
-161.19881725176975	2.7774371686e-4	3.044842e-4	-2.674053e-5
-212.79116975004783	1.8319425857e-4	1.591951e-4	2.399917e-5
-264.3835222482593	1.3341115981e-4	6.305028e-5	7.036088e-5
-315.97587474660395	9.1253832215e-6	1.891633e-5	-9.790948e-6
-367.56822724488205	-5.3962972421e-5	4.299118e-6	-5.826209e-5
-419.1605797431601	3.8365006923e-7	7.401407e-7	-3.564906e-7
-470.7529322415047	2.7186286533e-5	9.652544e-8	2.708976e-5
-522.3452847397828	5.8833168757e-5	9.535903e-9	5.882363e-5
-573.9376372380608	1.1600548932e-4	7.136321e-10	1.160048e-4
-625.529989736339	1.5258284592e-5	4.045568e-11	1.525824e-5
-677.122342234617	-8.0222400124e-5	1.737309e-12	-8.022240e-5
