# Z-profile-Region_1-Statistic_Mean-Coordinate_Current aless34_dirtycube_spw1719_natweight_nopbcorr.fits
# xLabel: [LSRK] Radio velocity (km/s)
# yLabel: Value (Jy/beam)
# ellipse[[513.223570pix, 511.651390pix], [5.406720pix, 7.350163pix], 337.643322deg]	
# ellipse(wcs:ICRS)[[3:32:17.9498492718, -27:52:33.3183471755], [0.5947392242", 0.8085178997"], 337.643322deg]	
# x	y	fittingModel	fittingResidual
1900.1954570147652	2.0620782246e-4	3.057903e-26	2.062078e-4
1845.1153795265088	1.8398073558e-4	1.146597e-24	1.839807e-4
1790.035302038219	1.4471764437e-4	3.761681e-23	1.447176e-4
1734.955224550029	1.0450018306e-4	1.079784e-21	1.045002e-4
1679.8751470617726	2.5091122762e-5	2.711914e-20	2.509112e-5
1624.795069573483	-2.8499891184e-5	5.959348e-19	-2.849989e-5
1569.7149920852266	-7.2852056132e-6	1.145791e-17	-7.285206e-6
1514.63491459697	4.0302011218e-5	1.927508e-16	4.030201e-5
1459.5548371087136	6.3934309812e-5	2.837075e-15	6.393431e-5
1404.4747596204572	-3.0211326597e-5	3.653671e-14	-3.021133e-5
1349.3946821322006	-1.7584294501e-4	4.116915e-13	-1.758429e-4
1294.3146046439774	-1.7029747841e-4	4.058806e-12	-1.702975e-4
1239.234527155721	-6.8633518356e-5	3.501134e-11	-6.863355e-5
1184.1544496674314	-6.6408340502e-5	2.642427e-10	-6.640860e-5
1129.0743721792414	-1.2284887563e-4	1.744943e-9	-1.228506e-4
1073.9942946909184	-1.4043046858e-4	1.008192e-8	-1.404406e-4
1018.9142172026287	-7.0759784940e-5	5.096702e-8	-7.081075e-5
963.8341397144055	6.8612790089e-5	2.254339e-7	6.838736e-5
908.754062226149	6.2155962564e-5	8.724350e-7	6.128353e-5
853.6739847378926	-3.8817310515e-5	2.954139e-6	-4.177145e-5
798.5939072496361	-4.0196365897e-5	8.752107e-6	-4.894847e-5
743.5138297614129	6.5160905212e-5	2.268706e-5	4.247384e-5
688.4337522731565	1.9900801190e-4	5.145503e-5	1.475530e-4
633.3536747849	2.2825544508e-4	1.021084e-4	1.261471e-4
578.2735972966103	1.2924529178e-4	1.772878e-4	-4.804249e-5
523.1935198083871	1.5547085873e-4	2.693272e-4	-1.138563e-4
468.11344232013073	3.6502432096e-4	3.579855e-4	7.038827e-6
413.0333648318077	4.0844699286e-4	4.163270e-4	-7.880057e-6
357.95328734365114	3.9319195209e-4	4.236310e-4	-3.043907e-5
302.8732098553947	4.7700712006e-4	3.771593e-4	9.984784e-5
247.79313236707165	3.6397562902e-4	2.937959e-4	7.017970e-5
192.71305487884845	1.2966255818e-4	2.002399e-4	-7.057737e-5
137.6329773906253	1.5243362192e-5	1.194097e-4	-1.041663e-4
82.55289990236885	5.2957076574e-5	6.230347e-5	-9.346394e-6
27.47282241404583	7.5895936396e-5	2.844257e-5	4.745336e-5
-27.60725507417734	-1.3090074215e-5	1.136082e-5	-2.445089e-5
-82.68733256236722	-6.9584970086e-5	3.970398e-6	-7.355537e-5
-137.76741005069024	-2.2047933867e-5	1.214066e-6	-2.326200e-5
-192.84748753894667	5.6194304285e-5	3.248141e-7	5.586949e-5
-247.92756502720314	3.3854882986e-6	7.603458e-8	3.309454e-6
-303.0076425154596	-7.3455421230e-5	1.557297e-8	-7.347099e-5
-358.0877200036495	-1.1232277981e-4	2.790715e-9	-1.123256e-4
-413.1677974919725	-1.4277389501e-4	4.375660e-10	-1.427743e-4
-468.24787498022897	-1.3925632386e-4	6.002823e-11	-1.392564e-4
-523.3279524684854	-1.3187174944e-4	7.205290e-12	-1.318718e-4
-578.4080299567419	-9.3327087574e-5	7.567132e-13	-9.332709e-5
-633.4881074449984	-7.0740465291e-5	6.953365e-14	-7.074047e-5
-688.5681849332548	-1.0273774854e-4	5.590398e-15	-1.027377e-4
-743.6482624215113	-4.5245637448e-5	3.932551e-16	-4.524564e-5
-798.7283399097012	4.2513332741e-5	2.420415e-17	4.251333e-5
-853.8084173980242	6.4759528177e-6	1.303435e-18	6.475953e-6
