# Z-profile-Region_1-Statistic_FluxDensity-Coordinate_Current aless41_dirtycube_allspw_nopbcorr.fits
# xLabel: [BARYCENT] Radio velocity (km/s)
# yLabel: Value (Jy)
# ellipse[[185.572703pix, 188.392261pix], [6.699414pix, 8.342666pix], 0.000000deg]	
# ellipse(wcs:ICRS)[[3:31:10.0799285717, -27:52:36.6519323977], [1.6748534560", 2.0856665678"], 0.000000deg]	
X	Y
-46498.13586151955	-1.7630386023e-4
-46443.54260966952	9.0274029220e-6
-46388.949357819496	7.0620417577e-5
-46334.356105969484	-4.3165387577e-5
-46279.762854119326	-4.1167789275e-5
-46225.16960226931	1.5136980083e-4
-46170.576350419215	2.9772880042e-4
-46115.9830985692	3.3480156066e-4
-46061.38984671911	2.8640170102e-4
-46006.79659486902	1.6204056262e-4
-45952.203343019	6.8193565320e-5
-45897.61009116898	1.0028733555e-4
-45843.01683931883	3.4423273450e-4
-45788.4235874688	5.4760093738e-4
-45733.83033561878	3.3505294249e-4
-45679.2370837687	-1.4680453404e-5
-45624.643831918605	-6.3676963781e-5
-45570.05058006852	1.1004324517e-4
-45515.4573282185	1.7488450951e-4
-45460.864076368416	1.4055007346e-4
-45406.27082451839	1.6261676766e-4
-45351.6775726683	7.6626114110e-5
-45297.084320818285	-1.1782114623e-4
-45242.49106896819	-1.2176684072e-4
-45187.89781711811	6.8124648965e-5
-45133.304565268016	1.3061348564e-4
-45078.711313417996	4.2848381056e-5
-45024.11806156798	5.8948799234e-5
-44969.52480971796	2.4292521905e-4
-44914.93155786781	3.6687253257e-4
-44860.33830601778	2.6016606647e-4
-44805.745054167695	2.5082442802e-5
-44751.151802317676	-7.2660140137e-5
-44696.558550467584	-7.3947397304e-5
-44641.965298617564	-2.2498851406e-5
-44587.37204676747	1.7881191150e-4
-44532.77879491746	3.9524177796e-4
-44478.1855430673	0.0000000000e+0
-44423.592291217275	0.0000000000e+0
-44368.99903936719	0.0000000000e+0
-44314.40578751717	2.8385167152e-4
-44259.812535667086	3.5858119562e-4
-44205.21928381706	2.3118347977e-4
-44150.626031966975	5.4667191742e-5
-44096.032780116955	1.0388176536e-4
-44041.43952826686	9.3536895794e-5
-43986.84627641684	-1.0835221987e-4
-43932.25302456676	-2.2654171040e-4
-43877.65977271674	-8.4024661952e-5
-43823.06652086658	1.3655074383e-4
-43768.47326901656	2.1976494172e-4
-43713.88001716654	9.7901456993e-5
-43659.28676531645	1.4884247155e-5
-43604.69351346643	9.2116551076e-5
-43550.10026161627	2.0291140399e-4
-43495.50700976626	2.4272837342e-4
-43440.913757916234	2.3049757873e-4
-43386.32050606614	1.9829483065e-4
-43331.72725421613	2.5277760680e-4
-43277.13400236604	3.0535578727e-4
-43222.54075051595	1.4558469127e-4
-43167.947498665926	1.2464401174e-5
-43113.354246815776	-5.9550262858e-5
-43058.76099496582	-1.7487533733e-4
-43004.16774311573	-1.2613392866e-4
-42949.574491265645	4.5409442622e-5
-42894.98123941556	2.3068635794e-4
-42840.38798756554	1.8646725032e-4
-42785.79473571551	-7.6212229909e-5
-42731.20148386543	-3.5639402013e-5
-42676.608232015344	1.3784484541e-4
-42622.01498016532	1.3935131873e-4
-42567.42172831523	2.6983272624e-4
-42512.82847646515	2.9887575689e-4
-42458.23522461506	-6.6952003514e-5
-42403.641972765035	-3.1089901986e-4
-42349.04872091494	-1.8844974134e-4
-42294.45546906493	1.3490991615e-5
-42239.86221721484	2.1855855586e-4
-42185.26896536482	4.1735055683e-4
-42130.675713514735	4.3714101126e-4
-42076.08246166471	2.0644875216e-4
-42021.48920981462	7.2048868972e-5
-41966.89595796453	1.5373203802e-4
-41912.30270611445	2.9893672385e-4
-41857.709454264426	4.2685180625e-4
-41803.11620241441	3.3420486165e-4
-41748.522950564315	6.5040078293e-5
-41693.92969871423	-1.8164337832e-4
-41639.33644686421	-1.8871535110e-4
-41584.74319501418	-1.3810476047e-4
-41530.14994316403	-1.3103174953e-4
-41475.556691314014	-6.2985998426e-5
-41420.96343946399	3.5645733959e-6
-41366.37018761384	1.3214264409e-4
-41311.77693576382	3.8261150884e-4
-41257.18368391373	8.8671815069e-4
-41202.590432063706	1.4203438074e-3
-41147.99718021369	1.5474305033e-3
