RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
52.965,-27.76472,103.1324,512.6,513,11.14,0.013699,19,0,1,1,1,aless101,spw2123
52.96497,-27.76474,103.0231,513.6,512.1,9.44,0.008251,19,1,1,1,2,aless101,spw2123
52.96503,-27.76471,103.2418,511.9,513.3,8.71,0.011989,19,2,1,1,3,aless101,spw2123
53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1,1,4,aless112,spw2123
53.20349,-27.52035,104.2576,516.2,513.3,10.27,0.013719,19,1,1,1,5,aless112,spw2123
53.20359,-27.52034,104.4764,513.3,513.7,9.94,0.013392,19,2,1,1,6,aless112,spw2123
53.21329,-27.52038,101.1791,231.7,512.3,6.63,0.005603,9,3,0.977,1,7,aless112,spw2123
53.21129,-27.52205,103.9138,289.8,457.8,6.04,0.004079,5,4,0.718,0.969,8,aless112,spw2123
53.197,-27.52418,90.2757,704.4,387.9,6.08,0.00512,9,0,0.867,1,9,aless112,spw1719
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1,1,10,aless17,spw1719
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1,1,11,aless34,spw2123
53.07362,-27.87172,97.032,548.1,650,8.42,0.00599,11,1,1,1,12,aless34,spw2123
53.0751,-27.8791,97.0476,505.2,408.6,8.33,0.004659,7,2,1,1,13,aless34,spw2123
53.06985,-27.87901,97.032,657,411.7,8.29,0.005312,9,3,1,1,14,aless34,spw2123
53.07569,-27.87513,97.032,488.3,538.6,8.14,0.006303,13,4,1,1,15,aless34,spw2123
53.07502,-27.87383,97.0633,507.5,581,8.05,0.005124,9,5,1,1,16,aless34,spw2123
53.07502,-27.87541,97.0633,507.5,529.5,8.02,0.006158,13,6,1,1,17,aless34,spw2123
53.07306,-27.87339,97.0476,564.3,595.6,7.88,0.006523,15,7,1,1,18,aless34,spw2123
53.07425,-27.87337,97.0633,530,596.2,7.76,0.006406,15,8,1,1,19,aless34,spw2123
53.07418,-27.87732,97.0789,531.8,467,7.59,0.005347,11,9,1,1,20,aless34,spw2123
53.07245,-27.87718,97.0633,581.9,471.5,7.43,0.006538,17,10,0.999,1,21,aless34,spw2123
53.07483,-27.87439,97.0789,513,562.8,7.24,0.006357,17,11,0.997,1,22,aless34,spw2123
53.07346,-27.87434,97.0945,552.8,564.4,7.06,0.006192,17,12,0.988,0.999,23,aless34,spw2123
53.07513,-27.87626,97.0164,504.4,501.7,6.97,0.003877,7,13,0.98,1,24,aless34,spw2123
53.07418,-27.875,97.0476,532,542.9,6.87,0.006421,19,14,0.965,0.997,25,aless34,spw2123
53.06956,-27.87747,96.9851,665.4,461.9,6.7,0.006074,17,15,0.919,0.995,26,aless34,spw2123
53.06772,-27.87978,97.0945,718.8,386.3,6.64,0.004184,9,16,0.896,0.988,27,aless34,spw2123
53.07516,-27.87752,97.0476,503.5,460.4,6.52,0.002184,3,17,0.833,1,28,aless34,spw2123
53.07525,-27.87603,97.1258,500.9,509.1,6.5,0.006056,19,18,0.821,0.973,29,aless34,spw2123
53.07489,-27.8759,84.922,511.3,513.4,7.55,0.005563,9,0,1,1,30,aless34,spw1719
52.79195,-27.87687,97.4882,187.2,189.1,25.2,0.016296,17,0,1,1,31,aless41,allspw
52.79201,-27.87685,97.5975,186.4,189.4,19.02,0.008252,11,1,1,1,32,aless41,allspw
52.79185,-27.87687,97.3788,188.4,189.1,18.33,0.00799,11,2,1,1,33,aless41,allspw
52.79202,-27.87683,97.7069,186.3,189.7,11.77,0.006321,19,3,1,1,34,aless41,allspw
52.79185,-27.87686,97.2694,188.5,189.2,9.68,0.005285,19,4,1,1,35,aless41,allspw
52.7909,-27.87376,87.1911,200.6,233.9,8.99,0.004344,19,5,1,1,36,aless41,allspw
52.79092,-27.87377,87.7067,200.3,233.7,8.36,0.00434,19,6,1,1,37,aless41,allspw
