RA_1,DEC_1,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window,RA_2,DEC_2,VIMOS_U,MUSYC_U,MUSYC_U38,MUSYC_B,MUSYC_V,MUSYC_R,MUSYC_I,MUSYC_Z,MUSYC_J,HAWK_J,TENIS_J,MUSYC_H,MUSYC_K,HAWK_K,TENIS_K,SIMPLE_CH1,SIMPLE_CH2,SIMPLE_CH3,SIMPLE_CH4,VIMOS_UE,MUSYC_UE,MUSYC_U38E,MUSYC_BE,MUSYC_VE,MUSYC_RE,MUSYC_IE,MUSYC_ZE,MUSYC_JE,HAWK_JE,TENIS_JE,MUSYC_HE,MUSYC_KE,HAWK_KE,TENIS_KE,SIMPLE_CH1E,SIMPLE_CH2E,SIMPLE_CH3E,SIMPLE_CH4E,zphot,zlo,zhi,Mh,wb_obs,wb_det,Separation
52.965,-27.76472,103.1324,512.6,513,11.14,0.013699,19,0,1,1,1,aless101,spw2123,52.9648421,-27.7648523,27.12899309378388,999,999,26.451071213423134,25.930071213423133,25.25707121342313,999,999,999,23.560046,24.690893521334655,23.156071213423132,999,22.886046,22.85445361,22.05303729408968,21.554283005168454,21.030469681903888,20.764779609254234,0.109587,0,0,0.244705,0.188618,0.211774,0,0,0,0.109861,0.235456,0.258207,0,0.0893714,0.0804116,0.0304057,0.0265588,0.0761934,0.0303976,2.565,2.364,2.781,-24.29,15,11,0.6927089252178397
53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1,1,4,aless112,spw2123,53.2036077,-27.5203593,26.83499309378388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.52303729408968,20.196283005168453,19.83446968190389,20.258779609254233,0.0845735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075084,0.00767,0.0259209,0.0191731,1.95,1.689,2.101,-24.67,5,5,0.094561618
53.0306,-27.85576,90.8227,507.3,513.1,8.19,0.0049,5,0,1,1,10,aless17,spw1719,53.0305348,-27.8557579,25.00099309378388,25.047071213423134,25.250071213423134,24.403071213423132,24.159071213423132,23.743071213423132,23.01007121342313,22.855071213423134,21.572071213423133,21.760046,21.608893521334657,21.276071213423133,20.906071213423132,20.808046,20.603453612195704,19.93703729408968,19.74728300516845,19.766469681903885,19.934779609254235,0.0161224,0.0881491,0.233013,0.0408421,0.0395833,0.0564895,0.0618463,0.0811616,0.0589102,0.0218087,0.0152754,0.0504093,0.0701173,0.0136541,0.0104474,0.00438301,0.00507825,0.0243648,0.0142586,1.5,1.428,1.612,-24.46,15,15,0.20765987335193895
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1,1,11,aless34,spw2123,53.0688467,-27.8797119,26.231993093783878,999,999,25.378071213423134,25.053071213423134,24.52407121342313,24.339071213423132,23.773071213423133,23.146071213423134,23.295046,23.301893521334655,0,21.714071213423132,22.005046,21.820453612195703,20.854037294089682,20.605283005168452,20.422469681903888,20.548779609254236,0.0493349,0,0,0.0976399,0.0881659,0.112961,0.197365,0.180426,0.231477,0.086993,0.0707972,0,0.142653,0.0406114,0.031735,0.0101722,0.0111608,0.0441753,0.0249763,1.695,1.55,1.844,-23.88,14,12,0.5630419425624484
53.07346,-27.87434,97.0945,552.8,564.4,7.06,0.006192,17,12,0.988,0.999,23,aless34,spw2123,53.073428,-27.8746129,24.237993093783878,24.657071213423134,24.456071213423133,23.83807121342313,23.41407121342313,22.755071213423133,21.564071213423134,21.22207121342313,20.689071213423134,20.494046,20.451893521334657,0,19.781071213423132,19.701046,19.454453612195703,19.101037294089686,19.318283005168453,19.77046968190389,19.935779609254233,0.00801411,0.0622943,0.118392,0.0244569,0.0201106,0.0230934,0.0166726,0.018568,0.0265162,0.00684273,0.00528682,0,0.0254,0.00494545,0.00363725,0.00203162,0.00342331,0.0244537,0.0142717,0.75,0.692,0.817,-23.66,14,14,0.9877036383294407
53.06956,-27.87747,96.9851,665.4,461.9,6.7,0.006074,17,15,0.919,0.995,26,aless34,spw2123,53.0695691,-27.8775227,27.807993093783878,999,999,999,26.116071213423133,24.317071213423134,22.833071213423132,22.630071213423133,21.592071213423132,21.690046,21.558893521334657,0,21.049071213423133,20.898046,20.713453612195707,20.48303729408968,20.80828300516845,21.35446968190389,21.919779609254235,0.196584,0,0,0,0.220499,0.0941766,0.052765,0.066425,0.0599758,0.0204598,0.0145925,0,0.0796342,0.0148261,0.0115555,0.00723772,0.0134412,0.101482,0.0858328,0.94,0.91,0.982,-22.83,14,11,0.19191731195758382
53.07489,-27.8759,84.922,511.3,513.4,7.55,0.005563,9,0,1,1,30,aless34,spw1719,53.0749471,-27.8759416,27.27199309378388,999,999,999,999,999,999,999,999,24.219046,999,0,999,999,999,23.139037294089682,23.019283005168454,999,22.686779609254234,0.124162,0,0,0,0,0,0,0,0,0.193763,0,0,0,0,0,0.0807603,0.098988,0,0.167424,1.89,1.608,2.18,-21.77,14,5,0.23546887240511688
52.79195,-27.87687,97.4882,187.2,189.1,25.2,0.016296,17,0,1,1,31,aless41,allspw,52.792042,-27.8768684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08503729408968,19.804283005168454,19.35646968190389,19.107779609254234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502163,0.00535131,0.0167606,0.00668031,2.75,2.028,7,-26.15,4,4,0.2928223758219498
52.85295,-27.84637,87.6598,175,163.6,25.14,0.013938,13,0,1,1,73,aless49,allspw,52.8529229,-27.8463475,0,999,999,24.598071213423133,24.30607121342313,24.069071213423133,23.825071213423133,24.025071213423132,0,0,23.189893521334657,0,999,22.290046,22.372453612195706,21.732037294089682,21.461283005168454,21.05246968190389,20.872779609254238,0,0,0,0.0486996,0.0452044,0.0755975,0.12708,0.223007,0,0,0.0640587,0,0,0.0525111,0.0522644,0.0227039,0.0244029,0.0776985,0.0335282,3.185,2.961,3.385,-24.9,13,11,0.1183312463482435
53.25915,-27.67653,99.5167,515.7,512.3,6.8,0.00449,9,0,1,0.982,86,aless55,spw2123,53.2593011,-27.67657,24.52799309378388,24.820071213423134,24.675071213423134,24.197071213423133,24.13507121342313,24.058071213423133,23.76007121342313,999,999,23.383046,23.218893521334657,999,22.387071213423134,23.154046,22.623453612195703,22.21503729408968,22.042283005168454,21.61646968190389,21.146779609254235,0.010456,0.0720569,0.143175,0.0338927,0.0387332,0.0748611,0.120089,0,0,0.0940281,0.0657412,0,0.251767,0.113129,0.0654551,0.0352198,0.0413461,0.127607,0.0429647,2.28,2.039,2.357,-23.46,15,13,0.5027844908194831
