RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,6,aless101,spw2123
52.96497,-27.76474,103.0231,513.6,512.1,9.44,0.008251,19,1,1.0,1.0,7,aless101,spw2123
52.96503,-27.76471,103.2418,511.9,513.3,8.71,0.011989,19,2,1.0,1.0,8,aless101,spw2123
53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1.0,1.0,48,aless112,spw2123
53.20349,-27.52035,104.2576,516.2,513.3,10.27,0.013719,19,1,1.0,1.0,49,aless112,spw2123
53.20359,-27.52034,104.4764,513.3,513.7,9.94,0.013392,19,2,1.0,1.0,50,aless112,spw2123
53.07569,-27.87513,97.032,488.3,538.6,8.14,0.006303,13,4,1.0,1.0,96,aless34,spw2123
53.07502,-27.87541,97.0633,507.5,529.5,8.02,0.006158,13,6,1.0,1.0,98,aless34,spw2123
53.07513,-27.87626,97.0164,504.4,501.7,6.97,0.003877,7,13,0.98,1.0,105,aless34,spw2123
53.07525,-27.87603,97.1258,500.9,509.1,6.5,0.006056,19,18,0.821,0.973,110,aless34,spw2123
53.07513,-27.87557,98.3134,504.5,524.2,5.66,0.004652,13,26,0.135,0.923,116,aless34,spw2123
53.07568,-27.87491,98.2509,488.6,545.9,5.41,0.004706,15,37,0.044,0.714,120,aless34,spw2123
53.07485,-27.87528,97.4539,512.6,533.6,5.22,0.004019,13,54,0.015,0.737,126,aless34,spw2123
53.07526,-27.87616,97.4852,500.7,504.8,5.21,0.004407,15,57,0.014,0.603,127,aless34,spw2123
52.79195,-27.87687,97.4882,187.2,189.1,25.2,0.016296,17,0,1.0,1.0,134,aless41,allspw
52.79201,-27.87685,97.5975,186.4,189.4,19.02,0.008252,11,1,1.0,1.0,135,aless41,allspw
52.79185,-27.87687,97.3788,188.4,189.1,18.33,0.00799,11,2,1.0,1.0,136,aless41,allspw
52.79202,-27.87683,97.7069,186.3,189.7,11.77,0.006321,19,3,1.0,1.0,137,aless41,allspw
52.79185,-27.87686,97.2694,188.5,189.2,9.68,0.005285,19,4,1.0,1.0,138,aless41,allspw
52.7909,-27.87376,87.1911,200.6,233.9,8.99,0.004344,19,5,1.0,1.0,139,aless41,allspw
52.79092,-27.87377,87.7067,200.3,233.7,8.36,0.00434,19,6,1.0,1.0,140,aless41,allspw
52.7909,-27.87377,87.3004,200.5,233.8,7.95,0.003983,19,7,1.0,1.0,141,aless41,allspw
52.79087,-27.87376,87.5973,200.9,233.9,7.76,0.003996,19,8,1.0,1.0,142,aless41,allspw
52.79086,-27.87372,88.3005,201.1,234.4,7.64,0.004139,19,9,1.0,1.0,143,aless41,allspw
52.79092,-27.87376,87.8161,200.3,233.8,7.5,0.003857,19,10,1.0,1.0,144,aless41,allspw
52.79082,-27.87375,88.1911,201.6,234.0,7.47,0.004264,19,11,1.0,1.0,145,aless41,allspw
52.79088,-27.87377,86.6754,200.8,233.7,7.38,0.003559,19,12,1.0,1.0,146,aless41,allspw
52.79089,-27.87369,85.8004,200.7,234.9,7.36,0.004258,19,13,1.0,1.0,147,aless41,allspw
52.79084,-27.87371,98.1288,201.3,234.6,7.36,0.003992,19,14,1.0,1.0,148,aless41,allspw
52.79091,-27.87376,87.0817,200.5,233.9,7.25,0.003696,19,15,1.0,1.0,149,aless41,allspw
52.79086,-27.87375,88.0817,201.1,234.0,7.21,0.003935,19,16,1.0,1.0,150,aless41,allspw
52.79081,-27.87382,87.4567,201.7,233.0,7.12,0.003469,19,17,1.0,1.0,151,aless41,allspw
52.7908,-27.87371,97.9882,201.8,234.6,7.04,0.003687,19,18,1.0,1.0,152,aless41,allspw
52.79086,-27.87372,100.1289,201.1,234.5,6.87,0.00377,19,19,1.0,1.0,153,aless41,allspw
52.79091,-27.87377,85.5973,200.4,233.8,6.71,0.003972,19,20,1.0,1.0,154,aless41,allspw
