RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
52.96337,-27.75171,90.8383,560,938.7,5.55,0.00616,15,0,0.004,0.625,1,aless101,spw1719
52.96037,-27.76699,90.2288,646.8,438.7,5.21,0.006293,17,5,0,0.647,2,aless101,spw1719
52.95662,-27.75406,92.2603,755.3,861.9,4.9,0.004442,11,22,0,0.689,3,aless101,spw1719
52.96545,-27.76449,91.8853,499.5,520.3,4.88,0.004261,11,25,0,0.677,4,aless101,spw1719
52.97289,-27.76075,91.104,284.1,642.9,4.77,0.004049,11,42,0,0.607,5,aless101,spw1719
52.965,-27.76472,103.1324,512.6,513,11.14,0.013699,19,0,1,1,6,aless101,spw2123
52.96497,-27.76474,103.0231,513.6,512.1,9.44,0.008251,19,1,1,1,7,aless101,spw2123
52.96503,-27.76471,103.2418,511.9,513.3,8.71,0.011989,19,2,1,1,8,aless101,spw2123
52.95687,-27.77097,101.4135,748.1,308.4,5.61,0.006987,17,3,0.023,0.848,9,aless101,spw2123
52.96977,-27.76111,104.1326,374.6,631.1,5.58,0.002689,3,4,0.016,0.732,10,aless101,spw2123
52.97021,-27.77013,102.1323,361.8,336,5.5,0.005533,13,5,0.006,0.978,11,aless101,spw2123
52.9582,-27.77317,103.7575,709.6,236.4,5.43,0.004311,7,7,0.002,0.684,12,aless101,spw2123
52.96823,-27.76411,104.6795,419,532.7,5.26,0.006196,19,9,0,0.68,13,aless101,spw2123
52.96217,-27.76053,101.8979,594.6,650,5.25,0.005988,17,10,0,0.624,14,aless101,spw2123
52.96266,-27.77432,104.4139,580.3,198.6,5.22,0.005078,11,12,0,0.772,15,aless101,spw2123
52.96331,-27.77522,102.1011,561.5,169.1,5.21,0.004274,9,13,0,0.905,16,aless101,spw2123
52.9616,-27.76343,101.5854,611.2,555,5.12,0.004279,9,15,0,0.875,17,aless101,spw2123
52.95967,-27.75839,103.2731,667,720,5.04,0.004642,9,22,0,0.844,18,aless101,spw2123
52.9586,-27.76439,103.695,698.1,523.6,4.98,0.004499,9,34,0,0.817,19,aless101,spw2123
52.96915,-27.76903,104.3826,392.6,371.9,4.97,0.004883,11,35,0,0.641,20,aless101,spw2123
52.96949,-27.75445,103.7263,382.7,849,4.96,0.004486,9,40,0,0.808,21,aless101,spw2123
52.97001,-27.76562,103.0074,367.5,483.4,4.96,0.00178,9,37,0,0.808,22,aless101,spw2123
52.96334,-27.75607,103.9607,560.8,796,4.95,0.005157,11,41,0,0.629,23,aless101,spw2123
52.96278,-27.75495,104.4295,576.8,832.8,4.87,0.004248,9,47,0,0.761,24,aless101,spw2123
52.96818,-27.76175,102.523,420.6,610.2,4.85,0.004362,9,52,0,0.75,25,aless101,spw2123
52.96265,-27.77275,103.695,580.8,250.1,4.78,0.004312,9,74,0,0.709,26,aless101,spw2123
52.96624,-27.76448,104.242,476.8,520.8,4.73,0.004257,9,84,0,0.679,27,aless101,spw2123
52.96685,-27.76674,103.0856,458.9,446.7,4.72,0.003826,9,89,0,0.672,28,aless101,spw2123
52.97333,-27.76277,102.3042,271.3,576.8,4.71,0.00397,9,95,0,0.666,29,aless101,spw2123
52.95516,-27.76112,103.0074,797.5,630.8,4.65,0.001672,9,118,0,0.627,30,aless101,spw2123
53.197,-27.52418,90.2757,704.4,387.9,6.08,0.00512,9,0,0.867,1,31,aless112,spw1719
53.19194,-27.51529,91.7916,851.4,678.9,5.75,0.002282,3,1,0.416,0.995,32,aless112,spw1719
53.19687,-27.51527,90.5883,708.4,679.7,5.32,0.003216,5,3,0.026,0.645,33,aless112,spw1719
53.20878,-27.52534,90.057,362.5,350.1,5.29,0.004591,9,4,0.02,0.869,34,aless112,spw1719
53.19397,-27.52182,90.3539,792.3,465.3,5.25,0.0044,9,5,0.013,0.771,35,aless112,spw1719
53.19785,-27.531,90.7914,679.7,164.9,5.25,0.003178,5,6,0.013,0.606,36,aless112,spw1719
