,Unnamed: 0,RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
0,0,52.96337,-27.75171,90.8383,560.0,938.7,5.55,0.00616,15,0,0.004,0.625,1,aless101,spw1719
5,5,52.96037,-27.76699,90.2288,646.8,438.7,5.21,0.006293,17,5,0.0,0.647,6,aless101,spw1719
22,22,52.95662,-27.75406,92.2603,755.3,861.9,4.9,0.004442,11,22,0.0,0.689,23,aless101,spw1719
25,25,52.96545,-27.76449,91.8853,499.5,520.3,4.88,0.004261,11,25,0.0,0.677,26,aless101,spw1719
42,42,52.97289,-27.76075,91.104,284.1,642.9,4.77,0.004049,11,42,0.0,0.607,43,aless101,spw1719
8529,8529,52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123
8530,8530,52.96497,-27.76474,103.0231,513.6,512.1,9.44,0.008251,19,1,1.0,1.0,2,aless101,spw2123
8531,8531,52.96503,-27.76471,103.2418,511.9,513.3,8.71,0.011989,19,2,1.0,1.0,3,aless101,spw2123
8532,8532,52.95687,-27.77097,101.4135,748.1,308.4,5.61,0.006987,17,3,0.023,0.848,4,aless101,spw2123
8533,8533,52.96977,-27.76111,104.1326,374.6,631.1,5.58,0.002689,3,4,0.016,0.732,5,aless101,spw2123
8534,8534,52.97021,-27.77013,102.1323,361.8,336.0,5.5,0.005533,13,5,0.006,0.978,6,aless101,spw2123
8536,8536,52.9582,-27.77317,103.7575,709.6,236.4,5.43,0.004311,7,7,0.002,0.684,8,aless101,spw2123
8538,8538,52.96823,-27.76411,104.6795,419.0,532.7,5.26,0.006196,19,9,0.0,0.68,10,aless101,spw2123
8539,8539,52.96217,-27.76053,101.8979,594.6,650.0,5.25,0.005988,17,10,0.0,0.624,11,aless101,spw2123
8541,8541,52.96266,-27.77432,104.4139,580.3,198.6,5.22,0.005078,11,12,0.0,0.772,13,aless101,spw2123
8542,8542,52.96331,-27.77522,102.1011,561.5,169.1,5.21,0.004274,9,13,0.0,0.905,14,aless101,spw2123
8544,8544,52.9616,-27.76343,101.5854,611.2,555.0,5.12,0.004279,9,15,0.0,0.875,16,aless101,spw2123
8551,8551,52.95967,-27.75839,103.2731,667.0,720.0,5.04,0.004642,9,22,0.0,0.844,23,aless101,spw2123
8563,8563,52.9586,-27.76439,103.695,698.1,523.6,4.98,0.004499,9,34,0.0,0.817,35,aless101,spw2123
8564,8564,52.96915,-27.76903,104.3826,392.6,371.9,4.97,0.004883,11,35,0.0,0.641,36,aless101,spw2123
8565,8565,52.96949,-27.75445,103.7263,382.7,849.0,4.96,0.004486,9,40,0.0,0.808,37,aless101,spw2123
8569,8569,52.97001,-27.76562,103.0074,367.5,483.4,4.96,0.00178,9,37,0.0,0.808,41,aless101,spw2123
8570,8570,52.96334,-27.75607,103.9607,560.8,796.0,4.95,0.005157,11,41,0.0,0.629,42,aless101,spw2123
8576,8576,52.96278,-27.75495,104.4295,576.8,832.8,4.87,0.004248,9,47,0.0,0.761,48,aless101,spw2123
8581,8581,52.96818,-27.76175,102.523,420.6,610.2,4.85,0.004362,9,52,0.0,0.75,53,aless101,spw2123
8601,8601,52.96265,-27.77275,103.695,580.8,250.1,4.78,0.004312,9,74,0.0,0.709,73,aless101,spw2123
8613,8613,52.96624,-27.76448,104.242,476.8,520.8,4.73,0.004257,9,84,0.0,0.679,85,aless101,spw2123
8621,8621,52.96685,-27.76674,103.0856,458.9,446.7,4.72,0.003826,9,89,0.0,0.672,93,aless101,spw2123
8624,8624,52.97333,-27.76277,102.3042,271.3,576.8,4.71,0.00397,9,95,0.0,0.666,96,aless101,spw2123
8647,8647,52.95516,-27.76112,103.0074,797.5,630.8,4.65,0.001672,9,118,0.0,0.627,119,aless101,spw2123
18143,18143,53.197,-27.52418,90.2757,704.4,387.9,6.08,0.00512,9,0,0.867,1.0,1,aless112,spw1719
18144,18144,53.19194,-27.51529,91.7916,851.4,678.9,5.75,0.002282,3,1,0.416,0.995,2,aless112,spw1719
18146,18146,53.19687,-27.51527,90.5883,708.4,679.7,5.32,0.003216,5,3,0.026,0.645,4,aless112,spw1719
18147,18147,53.20878,-27.52534,90.057,362.5,350.1,5.29,0.004591,9,4,0.02,0.869,5,aless112,spw1719
18148,18148,53.19397,-27.52182,90.3539,792.3,465.3,5.25,0.0044,9,5,0.013,0.771,6,aless112,spw1719
18149,18149,53.19785,-27.531,90.7914,679.7,164.9,5.25,0.003178,5,6,0.013,0.606,7,aless112,spw1719
18152,18152,53.20613,-27.51708,92.4948,439.6,620.3,5.14,0.005871,17,9,0.004,1.0,10,aless112,spw1719
18155,18155,53.20833,-27.52371,90.1038,375.6,403.3,5.11,0.006197,17,12,0.003,1.0,13,aless112,spw1719
18164,18164,53.20711,-27.51236,92.2916,410.9,774.9,4.94,0.005199,15,21,0.0,0.677,22,aless112,spw1719
18177,18177,53.21306,-27.52706,91.0571,238.4,293.7,4.85,0.004965,15,34,0.0,0.614,35,aless112,spw1719
18179,18179,53.19209,-27.52744,90.1038,847.0,281.4,4.83,0.005848,17,36,0.0,1.0,37,aless112,spw1719
18181,18181,53.2073,-27.52972,91.4009,405.6,206.6,4.81,0.00497,17,38,0.0,1.0,39,aless112,spw1719
18189,18189,53.20997,-27.5297,90.8383,328.1,207.4,4.77,0.005558,17,50,0.0,0.998,47,aless112,spw1719
18192,18192,53.20949,-27.50816,90.8071,342.0,912.4,4.77,0.005572,17,46,0.0,0.998,50,aless112,spw1719
18201,18201,53.20061,-27.51785,90.1195,599.7,595.2,4.75,0.005732,17,58,0.0,0.989,59,aless112,spw1719
18212,18212,53.21282,-27.53022,91.2602,245.2,190.5,4.72,0.004971,17,69,0.0,0.934,70,aless112,spw1719
18214,18214,53.19922,-27.52901,90.6195,640.1,229.9,4.71,0.005569,17,71,0.0,0.894,72,aless112,spw1719
26752,26752,53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1.0,1.0,1,aless112,spw2123
26753,26753,53.20349,-27.52035,104.2576,516.2,513.3,10.27,0.013719,19,1,1.0,1.0,2,aless112,spw2123
26754,26754,53.20359,-27.52034,104.4764,513.3,513.7,9.94,0.013392,19,2,1.0,1.0,3,aless112,spw2123
26755,26755,53.21329,-27.52038,101.1791,231.7,512.3,6.63,0.005603,9,3,0.977,1.0,4,aless112,spw2123
26756,26756,53.21129,-27.52205,103.9138,289.8,457.8,6.04,0.004079,5,4,0.718,0.969,5,aless112,spw2123
26757,26757,53.20728,-27.51534,101.6948,406.0,677.2,5.72,0.007202,19,5,0.423,0.971,6,aless112,spw2123
26758,26758,53.19676,-27.51834,102.3511,711.4,579.1,5.56,0.003384,5,7,0.281,0.842,7,aless112,spw2123
26759,26759,53.21301,-27.52713,103.7888,239.7,291.3,5.56,0.002643,3,6,0.281,0.606,8,aless112,spw2123
26760,26760,53.19547,-27.51491,103.2419,749.0,691.4,5.37,0.005885,13,8,0.15,0.696,9,aless112,spw2123
26762,26762,53.20386,-27.52577,102.2886,505.4,335.9,5.32,0.006565,19,10,0.123,0.855,11,aless112,spw2123
26763,26763,53.21056,-27.5155,101.9136,310.7,672.0,5.29,0.003715,7,11,0.109,0.705,12,aless112,spw2123
26765,26765,53.21555,-27.52495,104.3045,166.1,362.8,5.27,0.007148,19,13,0.101,0.83,14,aless112,spw2123
26766,26766,53.19054,-27.51956,101.0385,892.0,539.2,5.25,0.004239,7,14,0.092,0.662,15,aless112,spw2123
26767,26767,53.20526,-27.51203,104.5076,464.8,785.6,5.25,0.003259,5,15,0.092,0.671,16,aless112,spw2123
26768,26768,53.19756,-27.52716,104.242,688.1,290.5,5.25,0.003371,5,16,0.092,0.671,17,aless112,spw2123
26769,26769,53.20131,-27.51807,103.1325,579.3,588.1,5.24,0.003383,5,17,0.088,0.665,18,aless112,spw2123
26770,26770,53.19646,-27.52921,104.6483,720.1,223.5,5.24,0.003334,5,18,0.088,0.665,19,aless112,spw2123
26771,26771,53.19576,-27.52674,104.0857,740.5,304.3,5.18,0.005312,11,19,0.067,0.601,20,aless112,spw2123
26772,26772,53.1979,-27.51669,101.9917,678.4,633.0,5.14,0.006219,19,20,0.056,0.752,21,aless112,spw2123
26775,26775,53.19163,-27.52413,101.8042,860.4,389.7,5.12,0.005568,15,23,0.051,0.703,24,aless112,spw2123
26776,26776,53.20366,-27.52379,101.3979,511.2,400.7,5.1,0.005862,15,24,0.046,0.691,25,aless112,spw2123
26787,26787,53.21035,-27.51857,102.2417,317.1,571.7,5.01,0.006192,19,35,0.028,0.658,36,aless112,spw2123
