RA_1,DEC_1,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID_1,source,window,ID_2,RA_2,DEC_2,VIMOS_U,MUSYC_U,MUSYC_U38,MUSYC_B,MUSYC_V,MUSYC_R,MUSYC_I,MUSYC_Z,MUSYC_J,HAWK_J,TENIS_J,MUSYC_H,MUSYC_K,HAWK_K,TENIS_K,SIMPLE_CH1,SIMPLE_CH2,SIMPLE_CH3,SIMPLE_CH4,VIMOS_UE,MUSYC_UE,MUSYC_U38E,MUSYC_BE,MUSYC_VE,MUSYC_RE,MUSYC_IE,MUSYC_ZE,MUSYC_JE,HAWK_JE,TENIS_JE,MUSYC_HE,MUSYC_KE,HAWK_KE,TENIS_KE,SIMPLE_CH1E,SIMPLE_CH2E,SIMPLE_CH3E,SIMPLE_CH4E,zphot,zlo,zhi,Mh,wb_obs,wb_det,GroupID,GroupSize,Separation
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123,37249,52.9624339,-27.7653572,25.96799309378388,999.0,999.0,25.24207121342313,25.16407121342313,24.964071213423132,999.0,999.0,999.0,999.0,999.0,999.0,999.0,23.696046,23.647453612195704,24.185037294089682,999.0,999.0,999.0,0.0388742,0.0,0.0,0.0865902,0.0972432,0.165287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180545,0.160751,0.200087,0.0,0.0,0.0,2.86,2.784,2.949,-21.43,15,6,1,8,8.490116923438514
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123,37392,52.9623333,-27.7638836,25.58299309378388,26.066071213423132,999.0,25.25407121342313,25.357071213423133,25.21007121342313,999.0,999.0,999.0,24.545046,24.030893521334654,999.0,999.0,23.583046,23.550453612195703,23.563037294089682,23.447283005168455,999.0,999.0,0.0274135,0.212507,0.0,0.0875147,0.115189,0.203592,0.0,0.0,0.0,0.254196,0.134486,0.0,0.0,0.163979,0.147905,0.117321,0.143767,0.0,0.0,2.015,1.267,2.31,-21.42,15,9,1,8,9.01272453523528
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123,37602,52.9649467,-27.761989,26.21699309378388,26.266071213423132,999.0,25.601071213423133,25.595071213423132,25.192071213423134,999.0,999.0,999.0,23.805046,23.889893521334656,999.0,999.0,23.277046,23.429453612195704,23.22103729408968,23.274283005168453,999.0,999.0,0.048673,0.250859,0.0,0.118725,0.14165,0.200535,0.0,0.0,0.0,0.135993,0.118971,0.0,0.0,0.12594,0.133224,0.0868489,0.12375,0.0,0.0,1.7,1.25,1.931,-21.22,15,9,1,8,9.83306602274544
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123,37432,52.9635639,-27.7639677,25.47199309378388,25.81507121342313,999.0,25.233071213423134,25.14907121342313,24.868071213423132,24.55607121342313,999.0,999.0,999.0,23.753893521334657,999.0,999.0,23.617046,23.337453612195702,23.32403729408968,23.26428300516845,999.0,999.0,0.0247796,0.171921,0.0,0.0859029,0.0959662,0.152234,0.236575,0.0,0.0,0.0,0.105623,0.0,0.0,0.168809,0.12299,0.0951232,0.122677,0.0,0.0,1.31,0.717,2.181,-20.66,15,10,1,8,5.31630500881215
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123,37418,52.9648421,-27.7648523,27.12899309378388,999.0,999.0,26.451071213423134,25.930071213423133,25.25707121342313,999.0,999.0,999.0,23.560046,24.690893521334655,23.156071213423132,999.0,22.886046,22.8544536121957,22.05303729408968,21.554283005168454,21.030469681903888,20.764779609254234,0.109587,0.0,0.0,0.244705,0.188618,0.211774,0.0,0.0,0.0,0.109861,0.235456,0.258207,0.0,0.0893714,0.0804116,0.0304057,0.0265588,0.0761934,0.0303976,2.565,2.364,2.781,-24.29,15,11,1,8,0.6927089252178397
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123,37212,52.9640012,-27.7670619,25.62899309378388,25.625071213423134,999.0,25.016071213423132,24.68407121342313,24.51307121342313,24.279071213423133,24.070071213423134,999.0,23.665046,23.152893521334654,22.53307121342313,999.0,22.725046,22.411453612195704,22.197037294089682,22.097283005168453,21.82546968190389,21.836779609254236,0.0285844,0.14609,0.0,0.0708365,0.0634883,0.111879,0.187619,0.231505,0.0,0.120418,0.0619725,0.152928,0.0,0.0774831,0.054129,0.0346499,0.0434521,0.152867,0.079742,2.15,2.06,2.231,-23.14,15,14,1,8,9.011219320851138
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123,37111,52.9652399,-27.7674493,24.40499309378388,24.468071213423134,24.491071213423133,23.971071213423134,23.627071213423132,22.945071213423134,22.273071213423133,22.03907121342313,22.04507121342313,21.844046,21.685893521334656,21.552071213423133,21.266071213423132,21.467046,21.187453612195704,21.10303729408968,21.564283005168452,21.372469681903887,21.799779609254234,0.00934092,0.0525786,0.12206,0.0276038,0.0244208,0.0274544,0.03181,0.0390349,0.0897734,0.0235441,0.0163897,0.0645733,0.0964902,0.0249231,0.0178291,0.0127788,0.0268015,0.103101,0.077163,0.745,0.704,0.775,-21.76,15,15,1,8,9.85515375401283
52.965,-27.76472,103.1324,512.6,513.0,11.14,0.013699,19,0,1.0,1.0,1,aless101,spw2123,37439,52.9676342,-27.7643325,23.737993093783878,23.87007121342313,23.779071213423133,23.433071213423133,23.275071213423132,22.830071213423132,22.371071213423132,22.265071213423134,22.397071213423132,22.122046,22.038893521334657,21.81207121342313,21.528071213423132,21.922046,21.62445361219571,21.70203729408968,22.108283005168452,21.86946968190389,22.655779609254235,0.00506344,0.0306216,0.0650635,0.0169012,0.0177136,0.0247263,0.0347672,0.0478712,0.122276,0.0303194,0.0226214,0.0814046,0.1214,0.0376738,0.026557,0.0220914,0.0438858,0.158748,0.163048,0.74,0.642,0.798,-21.17,15,15,1,8,8.506488547472339
53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1.0,1.0,4,aless112,spw2123,58756,53.2036077,-27.5203593,26.83499309378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.52303729408968,20.196283005168453,19.83446968190389,20.258779609254233,0.0845735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075084,0.00767,0.0259209,0.0191731,1.95,1.689,2.101,-24.67,5,5,2,3,0.09456161799276054
53.20358,-27.52035,104.367,513.5,513.4,13.61,0.018358,19,0,1.0,1.0,4,aless112,spw2123,58779,53.2020058,-27.519757,26.88199309378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.21103729408968,22.029283005168452,21.70946968190389,21.689779609254234,0.088167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0350924,0.0408632,0.138321,0.0699625,2.35,1.848,3.303,-23.42,5,5,2,3,5.460480506460311
