,up,across
0,19305825.849971287,0.0303320253723353
1,19667699.12505238,0.0229727196168078
2,30287874.374160863,0.0203193339929557
3,48859268.84495944,0.0169764332089622
4,74431628.25884749,0.0136581331247566
5,111795206.64224152,0.0117459593312454
6,164679530.06752554,0.0108272198306531
7,224705855.1372443,0.0101634950397344
8,285500695.052726,0.0088045201998516
9,391062508.30763125,0.0076259619745457
10,584055190.4858872,0.0066413577926726
11,898598871.174685,0.0055263673824075
12,1245178305.5043738,0.0042277657608092
13,1579320072.1169777,0.0031501406589358
15,1840349248.6390264,0.0026032449536376
14,2107722895.867022,0.0020795925214002
18,2370652647.541999,0.0016142895891759
16,2710111611.8370914,0.0012499164911153
17,3072417483.7811966,0.000944791315316
19,3564524470.783172,0.0006259117663292
20,3984672477.042959,0.0004657228350444
21,4454343034.939286,0.0003218441009702
22,5072707964.203806,0.0002026100480741
23,5264658483.153885,0.0001305001480815
24,5670624503.974424,7.92428948815e-05
25,6107895197.375029,4.48084132434e-05
26,6578884515.447902,2.55386359143e-05
27,7086192553.893399,1.44409887275e-05
28,7492184507.416265,9.4166483606e-06
