,up,across
0,19728667.39572312,0.0618939223839165
1,30147583.20073326,0.0574363559617514
2,45361381.98271216,0.0483232730824949
3,68252733.94822164,0.0364423577941629
4,102696070.70574082,0.0268180543697401
5,154521032.76037833,0.0193695601189687
6,229070540.10465392,0.0137667124416593
7,282459137.7651483,0.0114668421755532
8,363065928.6930795,0.0093619486284822
9,538229048.1341321,0.0071050558877674
10,828093000.3967545,0.0057057137639522
11,1236763956.687679,0.0047085871643653
12,1832312813.322348,0.0035102131858467
13,2183263121.111932,0.0030717464852264
15,2672953729.513345,0.0026343494519551
14,3150985178.486202,0.002182109039665
17,3911357013.4381537,0.0018085297440243
18,5072707964.203806,0.0013217375659189
16,5550684781.098194,0.0011221837603338
19,5995513773.148783,0.0009226122015531
20,6955811074.54352,0.0006460538427311
21,8069918531.657688,0.0004596169466275
22,9362471810.933416,0.0003218441009702
23,10401432668.648195,0.0002177675552194
24,11203503352.783863,0.0001473468302301
25,12067422957.433086,0.0001029067868178
26,12838031593.21305,7.4970090625e-05
27,14087187596.11202,5.00615346243e-05
28,15173472587.103502,3.45045112208e-05
29,16343522706.76978,2.3594387146e-05
30,17603797214.734196,1.61339803144e-05
31,18961253454.19687,1.10325103668e-05
32,21196203136.900818,7.484594328e-06
33,25052127727.935383,5.0776432917e-06
34,29609505987.61583,3.4721222639e-06
36,33719984217.95693,2.5835057133e-06
35,37694535173.18527,1.6991601926e-06
