,up,across
0,18628659.36946572,0.0222260329695915
1,28090917.48116815,0.0172841795647637
2,42228826.29907264,0.0141773372139284
3,63482218.82723256,0.0120194036167227
4,95432254.70410816,0.0099442103337458
5,143462459.3493717,0.0080058906850273
6,212564521.33651245,0.0066664374231357
7,317263460.3245687,0.0056342431431639
8,487379807.7362624,0.0045033419799801
9,651425821.1695884,0.0034026290825928
10,732554243.4880273,0.002586138934404
11,819845323.5696667,0.0020032956529927
13,921798320.1978508,0.0015305719897861
12,985528590.5752147,0.0011678744335934
14,1061350625.0728213,0.0007817240156937
15,1143006057.9825392,0.0005479201806597
16,1230943684.133737,0.0003795216887983
17,1325646826.5646682,0.00026601151828
18,1427635992.9639478,0.000185716049901
19,1537471736.486469,0.0001286378406624
20,1686724705.2783504,8.94546438557e-05
21,1783144117.36678,6.22066824672e-05
22,1944200450.1851876,4.25806028249e-05
23,2068072451.5729892,3.10473194097e-05
24,2254863951.9397583,2.05911264178e-05
25,2398529442.0682907,1.59930004029e-05
